gender,age,bmi,activity_level,avg_sleep_hours,avg_water_intake_liters,height_cm,weight_kg,recommended_exercise
male,39,23.53,moderate,9.0,3.7,183.1,78.9,Balanced Strength + Cardio
male,27,23.93,moderate,7.2,3.6,169.7,68.9,Balanced Strength + Cardio
female,23,23.51,moderate,7.3,3.0,157.2,58.1,Balanced Strength + Cardio
female,28,24.44,moderate,7.7,3.0,160.8,63.2,Balanced Strength + Cardio
male,28,25.15,active,7.2,3.5,178.7,80.3,Balanced Strength + Cardio
female,32,25.38,active,7.4,2.9,161.0,65.8,Balanced Strength + Cardio
female,26,20.1,moderate,6.7,2.7,152.9,47.0,Balanced Strength + Cardio
male,35,25.25,moderate,7.6,3.4,167.1,70.5,Balanced Strength + Cardio
male,39,23.53,moderate,9.0,3.7,183.1,78.9,Balanced Strength + Cardio
male,38,20.71,moderate,7.5,3.6,158.3,51.9,Balanced Strength + Cardio
male,33,24.06,moderate,6.1,3.2,183.7,81.2,Balanced Strength + Cardio
female,32,25.18,moderate,6.6,2.8,163.0,66.9,Balanced Strength + Cardio
male,43,26.81,active,6.1,3.9,182.4,89.2,Balanced Strength + Cardio
female,37,25.81,active,6.6,3.7,154.1,61.3,Balanced Strength + Cardio
male,31,23.26,moderate,6.9,2.9,167.3,65.1,Balanced Strength + Cardio
female,27,19.84,moderate,7.4,2.1,158.1,49.6,Balanced Strength + Cardio
female,51,23.95,moderate,7.9,2.3,169.6,68.9,Balanced Strength + Cardio
male,37,20.26,moderate,6.3,4.0,181.3,66.6,Balanced Strength + Cardio
male,35,19.77,moderate,9.2,2.9,166.2,54.6,Balanced Strength + Cardio
female,28,21.21,active,6.2,2.9,177.2,66.6,Balanced Strength + Cardio
female,30,23.31,moderate,6.1,2.7,151.2,53.3,Balanced Strength + Cardio
female,23,26.37,moderate,8.1,2.0,154.7,63.1,Balanced Strength + Cardio
female,22,18.55,moderate,7.9,2.4,159.7,47.3,Balanced Strength + Cardio
male,34,19.65,moderate,6.9,2.9,174.0,59.5,Balanced Strength + Cardio
female,20,25.32,moderate,8.1,2.2,154.2,60.2,Balanced Strength + Cardio
female,24,25.34,moderate,6.8,3.1,157.3,62.7,Balanced Strength + Cardio
male,35,22.85,moderate,7.8,2.7,173.4,68.7,Balanced Strength + Cardio
male,49,22.55,moderate,6.8,3.6,190.0,81.4,Balanced Strength + Cardio
female,51,23.76,moderate,7.4,2.7,154.9,57.0,Balanced Strength + Cardio
female,35,25.43,active,6.3,3.0,172.3,75.5,Balanced Strength + Cardio
male,29,24.54,moderate,7.3,2.7,166.7,68.2,Balanced Strength + Cardio
female,48,21.73,moderate,6.4,2.6,153.8,51.4,Balanced Strength + Cardio
female,28,21.38,moderate,7.9,2.4,155.5,51.7,Balanced Strength + Cardio
male,26,18.6,moderate,8.4,3.8,184.6,63.4,Balanced Strength + Cardio
female,44,24.14,active,6.4,2.7,162.3,63.6,Balanced Strength + Cardio
male,36,22.02,active,6.6,3.5,172.2,65.3,Balanced Strength + Cardio
female,38,19.43,moderate,7.3,2.7,157.0,47.9,Balanced Strength + Cardio
male,36,21.06,moderate,6.1,3.6,173.9,63.7,Balanced Strength + Cardio
male,20,22.33,moderate,8.6,3.2,169.3,64.0,Balanced Strength + Cardio
female,19,26.84,moderate,7.0,3.0,171.9,79.3,Balanced Strength + Cardio
female,30,25.68,moderate,7.2,2.7,151.7,59.1,Balanced Strength + Cardio
female,18,25.71,active,7.5,3.2,167.7,72.3,Balanced Strength + Cardio
male,31,26.06,active,7.5,2.8,166.0,71.8,Balanced Strength + Cardio
female,24,23.37,moderate,8.7,3.7,181.5,77.0,Balanced Strength + Cardio
female,28,24.44,moderate,7.7,3.0,160.8,63.2,Balanced Strength + Cardio
male,35,25.57,active,7.6,3.2,179.5,82.4,Balanced Strength + Cardio
female,18,24.36,moderate,8.7,3.0,169.4,69.9,Balanced Strength + Cardio
female,18,23.86,moderate,6.5,2.4,163.0,63.4,Balanced Strength + Cardio
female,18,24.36,moderate,8.7,3.0,169.4,69.9,Balanced Strength + Cardio
female,30,21.24,moderate,7.4,2.8,156.6,52.1,Balanced Strength + Cardio
male,18,26.89,moderate,7.5,4.1,172.6,80.1,Balanced Strength + Cardio
male,39,24.55,active,6.3,4.0,160.7,63.4,Balanced Strength + Cardio
male,52,20.91,moderate,6.4,4.0,164.1,56.3,Balanced Strength + Cardio
male,28,22.94,moderate,8.1,4.2,174.8,70.1,Balanced Strength + Cardio
female,28,21.21,active,6.2,2.9,177.2,66.6,Balanced Strength + Cardio
male,18,25.28,moderate,7.9,2.7,173.6,76.2,Balanced Strength + Cardio
female,24,26.86,moderate,9.2,2.7,174.2,81.5,Balanced Strength + Cardio
female,53,19.35,moderate,6.7,1.6,169.5,55.6,Balanced Strength + Cardio
male,35,25.25,moderate,7.6,3.4,167.1,70.5,Balanced Strength + Cardio
male,53,25.9,moderate,7.5,3.5,177.5,81.6,Balanced Strength + Cardio
male,33,21.67,moderate,8.1,4.2,180.0,70.2,Balanced Strength + Cardio
female,38,25.3,moderate,7.9,4.1,152.2,58.6,Balanced Strength + Cardio
female,52,22.15,moderate,6.2,2.2,155.4,53.5,Balanced Strength + Cardio
male,47,20.48,moderate,7.1,3.9,183.7,69.1,Balanced Strength + Cardio
male,31,21.55,moderate,7.4,2.9,170.7,62.8,Balanced Strength + Cardio
female,24,26.67,moderate,7.0,2.1,160.5,68.7,Balanced Strength + Cardio
female,26,24.39,moderate,7.8,3.4,165.5,66.8,Balanced Strength + Cardio
male,37,24.5,moderate,6.8,3.9,165.5,67.1,Balanced Strength + Cardio
female,25,20.09,moderate,7.5,3.2,165.0,54.7,Balanced Strength + Cardio
male,26,18.94,moderate,6.1,3.8,174.1,57.4,Balanced Strength + Cardio
male,35,22.85,moderate,7.8,2.7,173.4,68.7,Balanced Strength + Cardio
male,21,23.01,moderate,7.9,3.3,166.9,64.1,Balanced Strength + Cardio
female,43,26.94,moderate,7.5,3.5,155.1,64.8,Balanced Strength + Cardio
male,40,24.05,moderate,7.7,3.0,177.3,75.6,Balanced Strength + Cardio
female,51,23.76,moderate,7.4,2.7,154.9,57.0,Balanced Strength + Cardio
female,22,20.91,moderate,8.0,2.0,159.8,53.4,Balanced Strength + Cardio
female,29,26.27,moderate,8.2,2.4,169.3,75.3,Balanced Strength + Cardio
female,22,23.11,moderate,6.8,3.3,160.2,59.3,Balanced Strength + Cardio
